FID,the_geom,id,name,place,source,is_in,highway,addr_stree,waterway
dominica_points.149,POINT (-61.3852373 15.30832),1557772026,Tarish Pit,suburb,,"Roseau, Dominica",,,
dominica_points.150,POINT (-61.3844353 15.3114632),1557772142,Stock Farm Prison,,,,,,
dominica_points.151,POINT (-61.3748196 15.3093858),1557772183,Belle Vue Rawle,hamlet,,"Roseau, Dominica",,,
dominica_points.152,POINT (-61.3749805 15.3061469),1557789651,St. Aromant,suburb,,"Roseau, Dominica",,,
dominica_points.153,POINT (-61.3845072 15.3094697),1557789681,,,,,,,
dominica_points.154,POINT (-61.386728 15.3082434),1557789687,,,,,bus_stop,,
dominica_points.155,POINT (-61.3863869 15.3047995),1557789692,,,,,,,
dominica_points.156,POINT (-61.3487627 15.2905511),1557855026,Giraudel,village,,Dominica,,,
dominica_points.157,POINT (-61.3568522 15.2974227),1557855685,Eggleston,village,,Dominica,,,
dominica_points.158,POINT (-61.3330422 15.335229),1562363352,Laudat,village,,Dominica,,,
dominica_points.159,POINT (-61.3597662 15.338026),1562363356,Cochrane,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.160,POINT (-61.3393599 15.3356099),1562363425,,,,,,,
dominica_points.161,POINT (-61.3393079 15.317618),1562363443,Wotton Waven,hamlet,,Dominica,,,
dominica_points.162,POINT (-61.4769996 15.537339),1562386716,Pointe Ronde,locality,,Dominica,,,
dominica_points.163,POINT (-61.3892661 15.2981129),1562470607,General Post Office,,,,,,
dominica_points.164,POINT (-61.3885054 15.2985613),1562470679,H.H.V. Whitchurch,,,,,,
dominica_points.165,POINT (-61.3890117 15.3000951),1562499074,,,,,bus_stop,,
dominica_points.166,POINT (-61.3842492 15.3093738),1562499081,,,,,bus_stop,,
dominica_points.167,POINT (-61.3879869 15.3095096),1562499090,,,,,bus_stop,,
dominica_points.168,POINT (-61.3674253 15.3073028),1562499101,Community High School,,,,,,
dominica_points.169,POINT (-61.3790377 15.2925264),1562502622,Our Lady of Fatima Church,,,,,,
dominica_points.170,POINT (-61.2528198 15.4686495),1566779322,Madjini,locality,,Dominica,,,
dominica_points.171,POINT (-61.3943203 15.3915262),1566779324,Warner,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.172,POINT (-61.2549656 15.4277769),1566779330,Morpo,locality,,"Castle Bruce, Dominica",,,
dominica_points.173,POINT (-61.357328 15.403742),1566779332,Morne Couronne,,,,,,
dominica_points.174,POINT (-61.2566049 15.3669473),1566779346,Riviere Cyrique,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.175,POINT (-61.2542789 15.4831253),1566779392,Gaulette,locality,,Dominica,,,
dominica_points.176,POINT (-61.2523907 15.4905654),1566779399,St. Cyr,locality,,Dominica,,,
dominica_points.177,POINT (-61.2873237 15.2721839),1566779457,Foundland,locality,,Dominica,,,
dominica_points.178,POINT (-61.3818276 15.4853048),1566779470,Mosquito Mountain,,,,,,
dominica_points.179,POINT (-61.2542017 15.4035663),1566779471,Saint Sauveur,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.180,POINT (-61.3124024 15.2459731),1566779496,Geneva,locality,,"Grand Bay, Dominica",,,
dominica_points.181,POINT (-61.2602828 15.3590165),1566779499,Morne aux Fregates,locality,,Dominica,,,
dominica_points.182,POINT (-61.4171727 15.5396124),1566779505,Morne Turner,,,,,,
dominica_points.183,POINT (-61.3454368 15.2506271),1566779554,Morne Plat Pays,,,,,,
dominica_points.184,POINT (-61.3665841 15.3557865),1566779560,Morne Cola Anglais,,,,,,
dominica_points.185,POINT (-61.4245305 15.6354604),1566779575,L� Haut,locality,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.186,POINT (-61.3737262 15.3743079),1566779601,Campbell,village,http://www.dominica.gov.dm/cms/files/2011_census_report.pdf,Dominica,,,
dominica_points.187,POINT (-61.3047767 15.306597),1566779633,Morne Watt,,,,,,
dominica_points.188,POINT (-61.273372 15.3641065),1566779704,The Cross,locality,,"Grand Fond, Dominica",,,
dominica_points.189,POINT (-61.3422211 15.2144336),1566779714,Petit Coulibri Cottages,,,,,,
