FID,the_geom,LAYER,TOWNS,NAME,CLASS,POPULATION
d_towns_points.20,POINT (-61.37384363449317 15.275522114672643),Unknown Point Feature,Loubiere,Loubiere,Rural,40
d_towns_points.21,POINT (-61.37220141740922 15.280245650107249),Unknown Point Feature,Wall_House,Wall_House,Rural,64
d_towns_points.22,POINT (-61.371927208068335 15.285644207801141),Unknown Point Feature,Castle_Comfort,Castle_Comfort,Suburban,71
d_towns_points.23,POINT (-61.37601612071678 15.290757024307783),Unknown Point Feature,Fortune,Fortune,Rural,62
d_towns_points.24,POINT (-61.36075752024103 15.296548735625041),Unknown Point Feature,Eggleston,Eggleston,Suburban,124
d_towns_points.25,POINT (-61.37616022676941 15.288007250498554),Unknown Point Feature,Citronniere,Citronniere,Suburban,41
d_towns_points.26,POINT (-61.380007150496745 15.292640091867883),Unknown Point Feature,New_Town,New_Town,Rural,43
d_towns_points.27,POINT (-61.34805149367502 15.288744663996916),Unknown Point Feature,Giraudel,Giraudel,Rural,125
d_towns_points.28,POINT (-61.38512604339583 15.298939870808864),Unknown Point Feature,Roseau,Roseau,Capital,49
d_towns_points.29,POINT (-61.37792693039494 15.297108623589326),Unknown Point Feature,Kings_Hill,Kings_Hill,Rural,70
d_towns_points.30,POINT (-61.374719709265364 15.3008821499969),Unknown Point Feature,Emsall,Emsall,Rural,0
d_towns_points.31,POINT (-61.37898374391216 15.30281122975093),Unknown Point Feature,Bath_Estate,Bath_Estate,Rural,69
d_towns_points.32,POINT (-61.38581082124515 15.305353398852887),Unknown Point Feature,Goodwill,Goodwill,Rural,42
d_towns_points.33,POINT (-61.383446563065256 15.31067584853714),Unknown Point Feature,Stock_Farm,Stock_Farm,Rural,67
d_towns_points.34,POINT (-61.386458477554356 15.314975671415558),Unknown Point Feature,Fond_Cole,Fond_Cole,Rural,37
d_towns_points.35,POINT (-61.39176328539469 15.323662271374724),Unknown Point Feature,Morne_Daniel,Morne_Daniel,Rural,46
d_towns_points.36,POINT (-61.35961687397315 15.31309536011825),Unknown Point Feature,Fond_Cani,Fond_Cani,Suburban,119
d_towns_points.37,POINT (-61.35689462368621 15.317958825250148),Unknown Point Feature,Shawford,Shawford,Rural,118
d_towns_points.38,POINT (-61.357427827016366 15.312872258023239),Unknown Point Feature,Copt_Hall,Copt_Hall,Suburban,120
d_towns_points.39,POINT (-61.34767366110464 15.310782893907284),Unknown Point Feature,Morne_Prosper,Morne_Prosper,Rural,122
d_towns_points.40,POINT (-61.34770020420969 15.322984926357202),Unknown Point Feature,Trafalgar,Trafalgar,Rural,115
d_towns_points.41,POINT (-61.33944320883038 15.317355923214672),Unknown Point Feature,Wotten_Waven,Wotten_Waven,Suburban,116
d_towns_points.42,POINT (-61.38562400153745 15.327145660610253),Unknown Point Feature,River_Estate,River_Estate,Rural,63
d_towns_points.43,POINT (-61.361432035079275 15.336700585267256),Unknown Point Feature,Cochrane,Cochrane,Rural,113
d_towns_points.44,POINT (-61.36755882501341 15.346411148303476),Unknown Point Feature,Springfield,Springfield,Rural,112
d_towns_points.45,POINT (-61.38909577691553 15.335450190736571),Unknown Point Feature,Canefield,Canefield,Rural,38
d_towns_points.46,POINT (-61.389642484378676 15.343615573036322),Unknown Point Feature,Check_Hall,Check_Hall,Suburban,45
d_towns_points.47,POINT (-61.39180538825898 15.347652371508905),Unknown Point Feature,Massacre,Massacre,Rural,44
d_towns_points.48,POINT (-61.33145136354749 15.33455312210728),Unknown Point Feature,Laudat,Laudat,Rural,114
d_towns_points.49,POINT (-61.39665180792129 15.366373151302472),Unknown Point Feature,Mahaut,Mahaut,Rural,23
d_towns_points.50,POINT (-61.357013998896 15.36136038705653),Unknown Point Feature,Sylvania,Sylvania,Rural,110
