FID,the_geom,LAYER,BUILDING_M,BUILDING_U,BUILDING_A
building_map_dom_points.207,POINT (-61.4459807509793 15.46785584452844),Unknown Point Feature,B__207,Unknown,?
building_map_dom_points.208,POINT (-61.446055503354536 15.467412905131207),Unknown Point Feature,B__208,Unknown,?
building_map_dom_points.209,POINT (-61.44548469241774 15.451911491720788),Unknown Point Feature,B__209,Unknown,?
building_map_dom_points.210,POINT (-61.445572011360014 15.451904043488069),Unknown Point Feature,B__210,Unknown,?
building_map_dom_points.211,POINT (-61.44593103913869 15.451680865175787),Unknown Point Feature,B__211,Unknown,?
building_map_dom_points.212,POINT (-61.44607788192596 15.45149247144666),Unknown Point Feature,B__212,Unknown,?
building_map_dom_points.213,POINT (-61.44624752349154 15.451590387258378),Unknown Point Feature,B__213,Unknown,?
building_map_dom_points.214,POINT (-61.4463522436958 15.451478273392322),Unknown Point Feature,B__214,Unknown,?
building_map_dom_points.215,POINT (-61.44644413797322 15.451414432942203),Unknown Point Feature,B__215,Unknown,?
building_map_dom_points.216,POINT (-61.44662717585357 15.451387503663524),Unknown Point Feature,B__216,Unknown,?
building_map_dom_points.217,POINT (-61.446662398552434 15.451121751961582),Unknown Point Feature,B__217,Unknown,?
building_map_dom_points.218,POINT (-61.44642856812163 15.451273264020879),Unknown Point Feature,B__218,Unknown,?
building_map_dom_points.219,POINT (-61.446340859106414 15.451333103523066),Unknown Point Feature,B__219,Unknown,?
building_map_dom_points.220,POINT (-61.40841066192741 15.61920076681667),Unknown Point Feature,B__220,Unknown,?
building_map_dom_points.221,POINT (-61.40851841962717 15.6191811453339),Unknown Point Feature,B__221,Unknown,?
building_map_dom_points.222,POINT (-61.408512137143575 15.619085887249568),Unknown Point Feature,B__222,Unknown,?
building_map_dom_points.223,POINT (-61.40836747834002 15.619037232248768),Unknown Point Feature,B__223,Unknown,?
building_map_dom_points.224,POINT (-61.40848674475497 15.61873885748463),Unknown Point Feature,B__224,Unknown,?
building_map_dom_points.225,POINT (-61.40877209593657 15.619046966255038),Unknown Point Feature,B__225,Unknown,?
building_map_dom_points.226,POINT (-61.40874490110183 15.6189334208661),Unknown Point Feature,B__226,Unknown,?
building_map_dom_points.227,POINT (-61.40870608061814 15.61881072334655),Unknown Point Feature,B__227,Unknown,?
building_map_dom_points.228,POINT (-61.408622519274154 15.618726239926374),Unknown Point Feature,B__228,Unknown,?
building_map_dom_points.229,POINT (-61.40888319483108 15.61859437836066),Unknown Point Feature,B__229,Unknown,?
building_map_dom_points.230,POINT (-61.40891999114148 15.618676255803967),Unknown Point Feature,B__230,Unknown,?
building_map_dom_points.231,POINT (-61.408527454825006 15.618616736473717),Unknown Point Feature,B__231,Unknown,?
building_map_dom_points.232,POINT (-61.40933711257436 15.618278025422477),Unknown Point Feature,B__232,Unknown,?
building_map_dom_points.233,POINT (-61.409206139030836 15.618274809477748),Unknown Point Feature,B__233,Unknown,?
building_map_dom_points.234,POINT (-61.409652457450434 15.61833698411892),Unknown Point Feature,B__234,Unknown,?
building_map_dom_points.235,POINT (-61.40753350854428 15.6179800685312),Unknown Point Feature,B__235,Unknown,?
building_map_dom_points.236,POINT (-61.41058456091446 15.618095879072118),Unknown Point Feature,B__236,Unknown,?
building_map_dom_points.237,POINT (-61.41042181564208 15.61826925729127),Unknown Point Feature,B__237,Unknown,?
building_map_dom_points.238,POINT (-61.41066906646117 15.61805795238796),Unknown Point Feature,B__238,Unknown,?
building_map_dom_points.239,POINT (-61.410776561368166 15.61807233233519),Unknown Point Feature,B__239,Unknown,?
building_map_dom_points.240,POINT (-61.41070687685615 15.618008352812966),Unknown Point Feature,B__240,Unknown,?
building_map_dom_points.241,POINT (-61.410495379610644 15.617829998245892),Unknown Point Feature,B__241,Unknown,?
building_map_dom_points.242,POINT (-61.410534323385725 15.617936827655397),Unknown Point Feature,B__242,Unknown,?
building_map_dom_points.243,POINT (-61.41056796228713 15.617821455849093),Unknown Point Feature,B__243,Unknown,?
building_map_dom_points.244,POINT (-61.41039809766149 15.617704610720702),Unknown Point Feature,B__244,Unknown,?
building_map_dom_points.245,POINT (-61.4104988720608 15.61768040368337),Unknown Point Feature,B__245,Unknown,?
building_map_dom_points.246,POINT (-61.41036390213344 15.617588747804469),Unknown Point Feature,B__246,Unknown,?
building_map_dom_points.247,POINT (-61.41030006707277 15.617372923721165),Unknown Point Feature,B__247,Unknown,?
building_map_dom_points.248,POINT (-61.41030549678611 15.61727548344194),Unknown Point Feature,B__248,Unknown,?
building_map_dom_points.249,POINT (-61.41010988202539 15.617464492251925),Unknown Point Feature,B__249,Unknown,?
building_map_dom_points.250,POINT (-61.410082916794444 15.617017704467846),Unknown Point Feature,B__250,Unknown,?
building_map_dom_points.251,POINT (-61.40995733570324 15.617225356017963),Unknown Point Feature,B__251,Unknown,?
building_map_dom_points.252,POINT (-61.410153157166306 15.617312918823654),Unknown Point Feature,B__252,Unknown,?
building_map_dom_points.253,POINT (-61.41098064528226 15.617391452208478),Unknown Point Feature,B__253,Unknown,?
building_map_dom_points.254,POINT (-61.41094980002238 15.617447903163056),Unknown Point Feature,B__254,Unknown,?
building_map_dom_points.255,POINT (-61.41094677959661 15.617536293048786),Unknown Point Feature,B__255,Unknown,?
building_map_dom_points.256,POINT (-61.410896784591586 15.617649279587027),Unknown Point Feature,B__256,Unknown,?
building_map_dom_points.257,POINT (-61.41082861614496 15.617995632234612),Unknown Point Feature,B__257,Unknown,?
building_map_dom_points.258,POINT (-61.41123688139918 15.617835365327453),Unknown Point Feature,B__258,Unknown,?
building_map_dom_points.259,POINT (-61.41163151298078 15.617622858695341),Unknown Point Feature,B__259,Unknown,?
building_map_dom_points.260,POINT (-61.41207749967204 15.617424324521156),Unknown Point Feature,B__260,Unknown,?
building_map_dom_points.261,POINT (-61.412252531983974 15.617173956788122),Unknown Point Feature,B__261,Unknown,?
