finish_id,title,finish_date,calendar_finish_ref,local_file_path,local_file_match_score,local_file_match_hint,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,external_word_count_notes,metadata_page_count,metadata_word_estimate,metadata_source,chosen_word_count,word_count_source,word_count_confidence,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local
finish_0062,Three Men in a Boat,2023-11-09,,,0.0,,,,,,,,,,184.0,50600.0,golden_master_multi_source.csv,50600.0,metadata_pages_x_words_per_page,medium,,,
finish_0063,out of the silent planet,2023-12-05,,data/Books/Out of the Silent Planet by CS Lewis.pdf,100.0,data/Books/Out of the Silent Planet by CS Lewis.pdf,59431.0,60078.0,647.0,pdf_repeated_header_footer_body_pages,,57757.0,https://www.gutenberg.ca/ebooks/lewiscs-outofthesilentplanet/lewiscs-outofthesilentplanet-00-h.html,User-provided Gutenberg check: 58557 total words minus 174-word header and 626-word footer; local PDF clipboard count was 60636; Drive first-80-page extrapolation was about 57k.,174.0,47850.0,golden_master_multi_source.csv,59431.0,local_file_word_count,high,-1674.0,-0.02816711817065168,0.02816711817065168
finish_0064,Perelandra by CS Lewis book 2.pdf,2023-12-10,,/Users/clarkbenham/side_projects/data/Books/Perelandra by CS Lewis book 2.pdf,100.0,Perelandra by CS Lewis book 2.pdf,86344.0,87422.0,1078.0,pdf_repeated_header_footer_body_pages,,,,,223.0,61325.0,golden_master_multi_source.csv,86344.0,local_file_word_count,high,,,
finish_0065,that hideous strength,2023-12-14,,/Users/clarkbenham/side_projects/data/Books/That Hideous Strength by CS Lewis.pdf,100.0,That Hideous Strength by CS Lewis.pdf,159372.0,161007.0,1635.0,pdf_repeated_header_footer_body_pages,,,,,382.0,105050.0,golden_master_multi_source.csv,159372.0,local_file_word_count,high,,,
finish_0066,The Screwtape Letters,2023-12-22,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Screwtape Letters/The Screwtape Letters.epub,100.0,The Screwtape Letters,31129.0,31324.0,195.0,epub_spine_body_sections,,40000.0,https://www.readinglength.com/work/WPCt7r2,ReadingLength online-search estimate; rough guess.,160.0,44000.0,golden_master_multi_source.csv,31129.0,local_file_word_count,high,8871.0,0.2849754248449998,0.2849754248449998
finish_0067,the abolition of man,2023-12-23,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The abolition of Man CS Lewis#keep#/The abolition of Man CS Lewis#keep#.pdf,100.0,The abolition of Man CS Lewis#keep#.pdf,21126.0,21771.0,645.0,pdf_repeated_header_footer_body_pages,,,,,117.0,32175.0,golden_master_multi_source.csv,21126.0,local_file_word_count,high,,,
finish_0068,The Man Who Was Thursday,2024-01-20,,,0.0,,,,,,,,,,162.0,44550.0,golden_master_multi_source.csv,44550.0,metadata_pages_x_words_per_page,medium,,,
finish_0069,digital minamalism,2024-01-21,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Digital Minimalism/Digital Minimalism.epub,100.0,Digital Minimalism.html,64190.0,73843.0,9653.0,epub_spine_body_sections,,,,,,,,64190.0,local_file_word_count,high,,,
finish_0070,ewtca,2024-02-19,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0071,how to win friends and influence people,2024-02-24,,"/Users/clarkbenham/side_projects/data/Books/How to Win Friends and Influence People -- Carnegie, Dale -- 2009 -- Simon and Schuster.epub",90.0,how to win friends and influence people,80456.0,80457.0,1.0,epub_spine_body_sections,,72000.0,https://www.readinglength.com/book/B13Et31,ReadingLength online-search estimate; rough guess.,276.0,75900.0,golden_master_multi_source.csv,80456.0,local_file_word_count,high,-8456.0,-0.10510092472904445,0.10510092472904445
