finish_id,title,matched_finish_date,first_pass_raw_minutes,first_pass_busy_adjusted_minutes,first_pass_adjusted_minutes,reading_raw_minutes,reading_busy_adjusted_minutes,reading_adjusted_minutes,audiobook_raw_minutes,audiobook_busy_adjusted_minutes,audiobook_adjusted_minutes,finished_raw_minutes,finished_busy_adjusted_minutes,finished_adjusted_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,busy_overlap_delta_minutes,strict_overlap_delta_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_error,metadata_page_count,metadata_word_estimate,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_raw,wpm_first_pass_busy_adjusted,wpm_first_pass_strict_adjusted,wpm_reading_only_raw,highlight_words_per_10k_words,finish_year,usable_for_speed,usable_for_confident_speed,usable_for_screened_speed,speed_screen_exclusion_reason
finish_0096,the checklist manifesto,2024-03-19,135.0,127.5,125.0,30.0,30.0,30.0,0.0,0.0,0.0,105.0,97.5,95.0,2,2024-03-19,2024-03-19,135.0,raw_calendar_duration_sum,7.5,10.0,1,False,,,57475.0,metadata_pages_x_words_per_page,medium,,,209.0,57475.0,"Business, management",6154,104,4,425.74074074074076,425.74074074074076,450.7843137254902,459.8,1915.8333333333333,1070.7264027838191,2024,True,False,True,
finish_0100,the world of null-a,2024-05-04,195.0,165.0,165.0,120.0,105.0,105.0,0.0,0.0,0.0,75.0,60.0,60.0,4,2024-05-04,2024-05-04,195.0,raw_calendar_duration_sum,30.0,30.0,1,False,,,60775.0,metadata_pages_x_words_per_page,medium,,,221.0,60775.0,fiction,0,0,0,311.6666666666667,311.6666666666667,368.3333333333333,368.3333333333333,506.4583333333333,0.0,2024,True,False,True,
finish_0101,16 ways to defend a walled city,2024-05-11,285.0,247.5,247.5,0.0,0.0,0.0,0.0,0.0,0.0,285.0,247.5,247.5,1,2024-05-11,2024-05-11,285.0,raw_calendar_duration_sum,37.5,37.5,1,False,,,105600.0,metadata_pages_x_words_per_page,medium,,,384.0,105600.0,fiction,1144,27,12,370.5263157894737,370.5263157894737,426.6666666666667,426.6666666666667,inf,108.33333333333334,2024,True,False,True,
finish_0104,consider phlebas,2024-06-04,555.0,492.5,490.0,510.0,455.0,452.5,0.0,0.0,0.0,45.0,37.5,37.5,12,2024-05-16,2024-06-04,555.0,raw_calendar_duration_sum,62.5,65.0,1,False,,,129525.0,metadata_pages_x_words_per_page,medium,,,471.0,129525.0,fiction,0,0,0,233.3783783783784,233.3783783783784,262.994923857868,264.33673469387753,253.97058823529412,0.0,2024,True,False,True,
finish_0105,50 essays by George Orwell,2024-06-19,240.0,120.0,120.0,135.0,67.5,67.5,0.0,0.0,0.0,105.0,52.5,52.5,2,2024-06-10,2024-06-19,240.0,raw_calendar_duration_sum,120.0,120.0,1,False,,,95150.0,metadata_pages_x_words_per_page,medium,,,346.0,95150.0,Literature,20023,298,86,396.4583333333333,396.4583333333333,792.9166666666666,792.9166666666666,704.8148148148148,2104.3615344193377,2024,True,False,True,
finish_0106,Jeeves stories,2024-06-30,532.5,457.5,452.5,472.5,427.5,422.5,0.0,0.0,0.0,60.0,30.0,30.0,15,2024-03-30,2024-06-30,532.5,raw_calendar_duration_sum,75.0,80.0,1,False,,,72325.0,metadata_pages_x_words_per_page,medium,,,263.0,72325.0,Literature,2823,64,0,135.82159624413146,135.82159624413146,158.08743169398906,159.8342541436464,153.06878306878306,390.3214656066367,2024,True,False,True,
finish_0107,just for fun,2024-07-13,195.0,165.0,162.5,165.0,142.5,140.0,0.0,0.0,0.0,30.0,22.5,22.5,4,2024-06-30,2024-07-13,195.0,raw_calendar_duration_sum,30.0,32.5,1,False,,,75625.0,metadata_pages_x_words_per_page,medium,,,275.0,75625.0,"Business, management",7951,111,102,387.8205128205128,387.8205128205128,458.3333333333333,465.38461538461536,458.3333333333333,1051.3719008264463,2024,True,False,True,
finish_0111,there is no anti-memetic division,2024-08-24,180.0,155.0,155.0,120.0,120.0,120.0,0.0,0.0,0.0,60.0,35.0,35.0,2,2024-08-24,2024-08-24,180.0,raw_calendar_duration_sum,25.0,25.0,1,False,,,69575.0,metadata_pages_x_words_per_page,medium,,,253.0,69575.0,fiction,0,0,0,386.52777777777777,386.52777777777777,448.8709677419355,448.8709677419355,579.7916666666666,0.0,2024,True,False,True,
finish_0114,a supposedly fun thing I’ll never do again,2024-09-04,375.0,265.0,257.5,300.0,190.0,182.5,0.0,0.0,0.0,75.0,75.0,75.0,5,2024-09-03,2024-09-04,375.0,raw_calendar_duration_sum,110.0,117.5,1,False,,,97075.0,metadata_pages_x_words_per_page,medium,,,353.0,97075.0,General Reading,9021,95,38,258.8666666666667,258.8666666666667,366.3207547169811,376.99029126213594,323.5833333333333,929.2814833891321,2024,True,False,True,
finish_0115,the Oxford book of short stories,2024-09-14,780.0,682.5,675.6972222222222,750.0,652.5,645.6972222222222,0.0,0.0,0.0,30.0,30.0,30.0,21,2024-08-07,2024-09-14,780.0,raw_calendar_duration_sum,97.5,104.3027777777778,1,False,,,150425.0,metadata_pages_x_words_per_page,medium,,,547.0,150425.0,Literature,4537,67,0,192.85256410256412,192.85256410256412,220.4029304029304,222.62190083494005,200.56666666666666,301.6120990526841,2024,True,False,True,
finish_0116,red plenty,2024-09-19,600.0,562.5,562.5,585.0,547.5,547.5,0.0,0.0,0.0,15.0,15.0,15.0,10,2024-09-17,2024-09-19,600.0,raw_calendar_duration_sum,37.5,37.5,1,False,,,119350.0,metadata_pages_x_words_per_page,medium,,,434.0,119350.0,General Reading,14255,172,52,198.91666666666666,198.91666666666666,212.17777777777778,212.17777777777778,204.01709401709402,1194.386258902388,2024,True,False,True,
finish_0117,the innocence of father brown,2024-09-25,255.0,165.0,165.0,240.0,150.0,150.0,0.0,0.0,0.0,15.0,15.0,15.0,9,2024-06-12,2024-09-25,255.0,raw_calendar_duration_sum,90.0,90.0,1,False,,,57200.0,metadata_pages_x_words_per_page,medium,,,208.0,57200.0,General Reading,0,0,0,224.31372549019608,224.31372549019608,346.6666666666667,346.6666666666667,238.33333333333334,0.0,2024,True,False,True,
finish_0119,brief interviews with hideous men,2024-10-09,420.0,382.5,380.0,405.0,367.5,365.0,0.0,0.0,0.0,15.0,15.0,15.0,10,2024-09-14,2024-10-09,420.0,raw_calendar_duration_sum,37.5,40.0,1,False,,,77275.0,metadata_pages_x_words_per_page,medium,,,281.0,77275.0,Literature,3880,47,0,183.98809523809524,183.98809523809524,202.0261437908497,203.35526315789474,190.80246913580248,502.1028793270786,2024,True,False,True,
finish_0126,how to fail at almost everything and still win big,2024-10-30,210.0,165.0,157.5,105.0,90.0,87.5,0.0,0.0,0.0,105.0,75.0,69.99999999999999,4,2024-10-22,2024-10-30,210.0,raw_calendar_duration_sum,45.0,52.5,1,False,,,68200.0,metadata_pages_x_words_per_page,medium,,,248.0,68200.0,"Business, management",6308,116,138,324.76190476190476,324.76190476190476,413.3333333333333,433.015873015873,649.5238095238095,924.9266862170089,2024,True,False,True,
finish_0128,iiatt,2024-11-08,165.0,150.0,150.0,135.0,127.5,127.5,0.0,0.0,0.0,30.0,22.5,22.5,4,2024-11-01,2024-11-08,165.0,raw_calendar_duration_sum,15.0,15.0,1,False,,,57200.0,metadata_pages_x_words_per_page,medium,,,208.0,57200.0,General Reading,7383,138,102,346.6666666666667,346.6666666666667,381.3333333333333,381.3333333333333,423.7037037037037,1290.7342657342658,2024,True,False,True,
finish_0130,designing machine learning systems,2024-11-21,225.0,187.5,187.5,90.0,90.0,90.0,0.0,0.0,0.0,135.0,97.5,97.5,2,2024-11-18,2024-11-21,225.0,raw_calendar_duration_sum,37.5,37.5,1,False,,,106150.0,metadata_pages_x_words_per_page,medium,,,386.0,106150.0,Machine Learning,7297,175,196,471.77777777777777,471.77777777777777,566.1333333333333,566.1333333333333,1179.4444444444443,687.423457371644,2024,True,False,True,
finish_0131,declare,2024-11-28,540.0,442.5,435.0,270.0,217.5,212.5,0.0,0.0,0.0,270.0,225.0,222.5,5,2024-11-20,2024-11-28,540.0,raw_calendar_duration_sum,97.5,105.0,1,False,,,145200.0,metadata_pages_x_words_per_page,medium,,,528.0,145200.0,fiction,0,0,0,268.8888888888889,268.8888888888889,328.135593220339,333.7931034482759,537.7777777777778,0.0,2024,True,False,True,
finish_0133,machine learning engineering,2024-12-12,220.0,197.5,197.5,175.0,152.5,152.5,0.0,0.0,0.0,45.0,45.0,45.0,6,2024-12-01,2024-12-12,220.0,raw_calendar_duration_sum,22.5,22.5,1,False,,,82775.0,metadata_pages_x_words_per_page,medium,,,301.0,82775.0,Machine Learning,0,0,0,376.25,376.25,419.11392405063293,419.11392405063293,473.0,0.0,2024,True,False,True,
