event_type,book_ref,events,first_date,last_date,wall_clock_minutes,calendar_analysis_minutes,classification,best_candidate_score,best_candidate_finish_date,best_candidate_title,best_candidate_ref,days_from_last_event_to_candidate_finish
reading,gb,1,2024-04-20,2024-04-20,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,fp,1,2022-10-02,2022-10-02,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,adop,1,2022-02-09,2022-02-09,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,fogc,1,2025-07-23,2025-07-23,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,ML pattern cookbook,1,2022-06-05,2022-06-05,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,bq,1,2026-02-02,2026-02-02,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,ewsr,1,2026-02-27,2026-02-27,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,Pbtl,1,2021-12-22,2021-12-22,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,oaf,1,2025-12-15,2025-12-15,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,dpeoroos,1,2022-06-20,2022-06-20,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,dc,1,2026-01-20,2026-01-20,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,itaseas,1,2024-05-15,2024-05-15,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,Tmi,1,2022-06-24,2022-06-24,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,lem,1,2022-12-04,2022-12-04,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,Asaj,1,2022-04-01,2022-04-01,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,VC,1,2025-12-20,2025-12-20,30.0,22.5,no_finished_book_candidate_found,,,,,
reading,nm,1,2024-05-08,2024-05-08,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,algo,1,2022-10-16,2022-10-16,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,aoc,1,2024-03-23,2024-03-23,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,mod,1,2023-03-04,2023-03-04,30.0,30.0,no_finished_book_candidate_found,,,,,
audiobook,the creative act,1,2026-01-11,2026-01-11,30.0,15.0,no_finished_book_candidate_found,,,,,
reading,lftt,1,2022-09-24,2022-09-24,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,microservice,1,2025-02-09,2025-02-09,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,ay,1,2025-07-09,2025-07-09,30.0,15.0,no_finished_book_candidate_found,,,,,
reading,bc,1,2022-12-12,2022-12-12,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,maths,1,2025-02-01,2025-02-01,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,Chekov,1,2021-06-28,2021-06-28,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,besem,2,2022-09-13,2022-09-14,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,linking,1,2022-10-22,2022-10-22,30.0,30.0,no_finished_book_candidate_found,,,,,
started,golf stories,1,2025-09-24,2025-09-24,22.5,22.5,no_finished_book_candidate_found,,,,,
reading,website into,1,2025-04-06,2025-04-06,22.5,22.5,no_finished_book_candidate_found,,,,,
reading,summaries,1,2026-04-07,2026-04-07,22.5,22.5,no_finished_book_candidate_found,,,,,
reading,taocp,1,2026-02-18,2026-02-18,20.0,20.0,no_finished_book_candidate_found,,,,,
reading,System Performance,1,2022-08-24,2022-08-24,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,Refactoring,1,2022-04-12,2022-04-12,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,Rayleigh,1,2022-12-02,2022-12-02,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,wctpow,1,2026-03-06,2026-03-06,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,tss,1,2025-12-01,2025-12-01,15.0,7.5,no_finished_book_candidate_found,,,,,
reading,Raleigh,1,2023-01-08,2023-01-08,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,PyTorch,1,2023-11-06,2023-11-06,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,tw1q,1,2024-08-06,2024-08-06,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,twod,1,2025-12-28,2025-12-28,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,ODE,1,2024-05-07,2024-05-07,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,ML,1,2023-06-07,2023-06-07,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,wim,1,2024-06-09,2024-06-09,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,wism,1,2024-07-14,2024-07-14,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,Bazel,1,2022-10-21,2022-10-21,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,y for bed,1,2024-12-31,2024-12-31,15.0,15.0,no_finished_book_candidate_found,,,,,
started,only the paranoid survive,1,2025-10-28,2025-10-28,15.0,15.0,no_finished_book_candidate_found,,,,,
audiobook,system design interview two,1,2026-02-03,2026-02-03,15.0,7.5,no_finished_book_candidate_found,,,,,
started,profiles in courage,1,2025-10-26,2025-10-26,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,aa7,1,2023-11-07,2023-11-07,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,paper,1,2024-06-07,2024-06-07,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,agol,1,2023-01-29,2023-01-29,15.0,15.0,no_finished_book_candidate_found,,,,,
reading,rlhf,1,2025-04-08,2025-04-08,15.0,15.0,no_finished_book_candidate_found,,,,,
