finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_word_count,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason
finish_0062,Three Men in a Boat,2023-11-09,285.0,285.0,285.0,180.0,180.0,180.0,0.0,0.0,0.0,105.0,105.0,105.0,5,2023-11-08,2023-11-09,285.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,50600.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,184.0,50600.0,Literature,900.0,21.0,0.0,177.5438596491228,177.5438596491228,177.5438596491228,0.0,285.0,0.0,0.0,50600.0,177.5438596491228,False,281.1111111111111,177.86561264822134,2023,True,False,True,True,
finish_0063,out of the silent planet,2023-12-05,225.0,225.0,225.0,165.0,165.0,165.0,0.0,0.0,0.0,60.0,60.0,60.0,4,2023-11-30,2023-12-05,225.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,59569.0,local_file_word_count,high,data/Books/Out of the Silent Planet by CS Lewis.pdf,100.0,59569.0,,57757.0,https://www.gutenberg.ca/ebooks/lewiscs-outofthesilentplanet/lewiscs-outofthesilentplanet-00-h.html,174.0,47850.0,fiction,0.0,0.0,0.0,264.75111111111113,264.75111111111113,264.75111111111113,0.0,225.0,0.0,0.0,59569.0,264.75111111111113,False,361.0242424242424,0.0,2023,True,True,True,True,
finish_0064,Perelandra by CS Lewis book 2.pdf,2023-12-10,315.0,315.0,315.0,225.0,225.0,225.0,0.0,0.0,0.0,90.0,90.0,90.0,8,2023-12-05,2023-12-10,315.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,86635.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/Perelandra by CS Lewis book 2.pdf,100.0,86635.0,,,,223.0,61325.0,fiction,0.0,0.0,0.0,275.031746031746,275.031746031746,275.031746031746,0.0,315.0,0.0,0.0,86635.0,275.031746031746,False,385.0444444444444,0.0,2023,True,True,True,True,
finish_0065,that hideous strength,2023-12-14,380.0,480.0,395.0,365.0,465.0,380.0,0.0,0.0,0.0,15.0,15.0,15.0,9,2023-12-11,2023-12-14,395.0,calendar_analysis_duration_with_compatible_overlap_restored,100.0,15.0,1,False,,,159432.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/That Hideous Strength by CS Lewis.pdf,90.0,159432.0,,,,382.0,105050.0,fiction,0.0,0.0,0.0,403.6253164556962,332.15,332.15,0.0,395.0,0.0,0.0,159432.0,403.6253164556962,False,436.8,0.0,2023,True,True,True,True,
finish_0066,The Screwtape Letters,2023-12-22,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,1,2023-12-22,2023-12-22,120.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,31324.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Screwtape Letters-C. S. Lewis -#keep#.epub,90.0,31324.0,,,,160.0,44000.0,Literature,6402.0,130.0,0.0,261.03333333333336,261.03333333333336,261.03333333333336,0.0,120.0,0.0,0.0,31324.0,261.03333333333336,False,inf,2043.8002809347468,2023,True,True,True,True,
finish_0067,the abolition of man,2023-12-23,127.5,180.0,180.0,75.0,75.0,75.0,0.0,0.0,0.0,52.5,105.0,105.0,3,2022-06-02,2023-12-25,180.0,calendar_analysis_duration_with_compatible_overlap_restored,52.5,52.5,1,False,,,32175.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,117.0,32175.0,Literature,0.0,0.0,0.0,178.75,178.75,178.75,0.0,180.0,0.0,0.0,32175.0,178.75,False,429.0,0.0,2023,True,False,True,True,
finish_0068,The Man Who Was Thursday,2024-01-20,255.0,255.0,255.0,165.0,165.0,165.0,0.0,0.0,0.0,90.0,90.0,90.0,5,2024-01-18,2024-01-20,255.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,44550.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,162.0,44550.0,Literature,1285.0,23.0,0.0,174.7058823529412,174.7058823529412,174.7058823529412,0.0,255.0,0.0,0.0,44550.0,174.7058823529412,False,270.0,288.43995510662177,2024,True,False,True,True,
finish_0071,how to win friends and influence people,2024-02-24,292.5,315.0,315.0,262.5,285.0,285.0,0.0,0.0,0.0,30.0,30.0,30.0,10,2023-08-27,2024-02-24,315.0,calendar_analysis_duration_with_compatible_overlap_restored,22.5,22.5,1,False,,,80457.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/How to Win Friends and Influence People -- Carnegie, Dale -- 2009 -- Simon and Schuster.epub",90.0,80457.0,,,,276.0,75900.0,"Business, management",0.0,0.0,0.0,255.41904761904763,255.41904761904763,255.41904761904763,0.0,315.0,0.0,0.0,80457.0,255.41904761904763,False,306.5028571428571,0.0,2024,True,True,True,True,
finish_0073,Jude the Obscure,2024-03-08,487.5,570.0,570.0,457.5,510.0,510.0,0.0,0.0,0.0,30.0,60.0,60.0,8,2024-03-04,2024-03-08,570.0,calendar_analysis_duration_with_compatible_overlap_restored,82.5,82.5,1,False,,,66000.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,240.0,66000.0,Literature,0.0,0.0,0.0,115.78947368421052,115.78947368421052,115.78947368421052,0.0,570.0,0.0,0.0,66000.0,115.78947368421052,False,144.2622950819672,0.0,2024,True,False,True,True,
finish_0074,A Connecticut Yankee in King Arthur’s Court,2024-03-12,345.0,345.0,345.0,285.0,285.0,285.0,0.0,0.0,0.0,60.0,60.0,60.0,6,2022-10-27,2024-03-12,345.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,109175.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,397.0,109175.0,Literature,3665.0,63.0,102.0,316.4492753623188,316.4492753623188,316.4492753623188,0.0,345.0,0.0,0.0,109175.0,316.4492753623188,False,383.0701754385965,335.69956491870846,2024,True,False,True,True,
