title,avg_enjoyment,goodreads_rating,category,read_year,link
"Uncontrolled: The Surprising Payoff of Trial-and-Error for Business, Politics, and Society",3,3.72,General Reading,2013,https://www.goodreads.com/review/show/398771559?utm_medium=api&utm_source=rss
Red Plenty: Inside the Fifties’ Soviet Dream,4,4.08,General Reading,2012,https://www.goodreads.com/review/show/369885927?utm_medium=api&utm_source=rss
Research Fraud in the Behavioral and Biomedical Sciences,3,3.0,General Reading,2018,https://www.goodreads.com/review/show/2433208266?utm_medium=api&utm_source=rss
"Past, Present, and Future of Statistical Science",4,3.5,General Reading,2014,https://www.goodreads.com/review/show/959222084?utm_medium=api&utm_source=rss
Proving History: Bayes's Theorem and the Quest for the Historical Jesus,4,3.89,General Reading,2012,https://www.goodreads.com/review/show/370132278?utm_medium=api&utm_source=rss
Life in Our Phage World,4,4.31,General Reading,2015,https://www.goodreads.com/review/show/1193858929?utm_medium=api&utm_source=rss
"Excuse Me Sir, Would You Like to Buy a Kilo of Isopropyl Bromide?",4,3.78,General Reading,2014,https://www.goodreads.com/review/show/1095756192?utm_medium=api&utm_source=rss
The Machiavellians: Defenders of Freedom,4,4.26,General Reading,2012,https://www.goodreads.com/review/show/373044014?utm_medium=api&utm_source=rss
A Perfect Vacuum,4,4.17,General Reading,2015,https://www.goodreads.com/review/show/1341603279?utm_medium=api&utm_source=rss
The Origins of Political Order: From Prehuman Times to the French Revolution,5,4.17,General Reading,2012,https://www.goodreads.com/review/show/369928050?utm_medium=api&utm_source=rss
The Bridge to Lucy Dunne,3,4.28,General Reading,2016,https://www.goodreads.com/review/show/1767656150?utm_medium=api&utm_source=rss
"Donald Michie: Machine intelligence, biology and more",3,3.0,General Reading,2018,https://www.goodreads.com/review/show/2571405014?utm_medium=api&utm_source=rss
Clear and Simple As the Truth: Writing Classic Prose,4,4.06,General Reading,2014,https://www.goodreads.com/review/show/370138187?utm_medium=api&utm_source=rss
The Operations Evaluation Group: A History of Naval Operations Analysis,3,3.5,General Reading,2018,https://www.goodreads.com/review/show/2262226559?utm_medium=api&utm_source=rss
Bias in Mental Testing,5,4.44,General Reading,2015,https://www.goodreads.com/review/show/1412079619?utm_medium=api&utm_source=rss
The Metropolitan Man,4,4.22,General Reading,2014,https://www.goodreads.com/review/show/1041627881?utm_medium=api&utm_source=rss
The Pillow Book,3,4.02,General Reading,2016,https://www.goodreads.com/review/show/1696965714?utm_medium=api&utm_source=rss
Savage Continent: Europe in the Aftermath of World War II,4,4.18,General Reading,2014,https://www.goodreads.com/review/show/372158731?utm_medium=api&utm_source=rss
Tokyo: A Certain Style,3,4.3,General Reading,2017,https://www.goodreads.com/review/show/2166235799?utm_medium=api&utm_source=rss
100 Years of Nobel Prizes,1,2.0,General Reading,2018,https://www.goodreads.com/review/show/2416614546?utm_medium=api&utm_source=rss
"Moby-Dick or, The Whale",3,3.54,General Reading,2017,https://www.goodreads.com/review/show/370161829?utm_medium=api&utm_source=rss
The Autobiography of Benvenuto Cellini,3,3.99,General Reading,2012,https://www.goodreads.com/review/show/412209040?utm_medium=api&utm_source=rss
Japan As Number One: Lessons for America,3,3.54,General Reading,2018,https://www.goodreads.com/review/show/2354801164?utm_medium=api&utm_source=rss
Double Entry: How the Merchants of Venice Created Modern Finance,3,3.44,General Reading,2014,https://www.goodreads.com/review/show/1093201048?utm_medium=api&utm_source=rss
The Genius Factory: The Curious History of the Nobel Prize Sperm Bank,4,3.54,General Reading,2016,https://www.goodreads.com/review/show/373155219?utm_medium=api&utm_source=rss
"Soldiers Live (The Chronicles of the Black Company, #9)",2,4.25,General Reading,2013,https://www.goodreads.com/review/show/643091902?utm_medium=api&utm_source=rss
"The Thousandfold Thought (The Prince of Nothing, #3)",2,3.94,General Reading,2020,https://www.goodreads.com/review/show/394818376?utm_medium=api&utm_source=rss
"The Black Company (The Chronicles of the Black Company, #1)",4,3.94,General Reading,2013,https://www.goodreads.com/review/show/635498885?utm_medium=api&utm_source=rss
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",4,4.16,General Reading,2014,https://www.goodreads.com/review/show/859555507?utm_medium=api&utm_source=rss
Haikai Poet Yosa Buson And The Bashō Revival,4,4.43,General Reading,2015,https://www.goodreads.com/review/show/1371866955?utm_medium=api&utm_source=rss
A Shropshire Lad,4,4.01,General Reading,2015,https://www.goodreads.com/review/show/372533270?utm_medium=api&utm_source=rss
Inside WikiLeaks: My Time with Julian Assange at the World's Most Dangerous Website,3,3.31,General Reading,2011,https://www.goodreads.com/review/show/645280290?utm_medium=api&utm_source=rss
