title,avg_enjoyment,goodreads_rating,amazon_rating,category
Studies in the History of Accounting,3,3.0,,General Reading
"The Too-Clever Fox (Grishaverse, #2.5)",4,3.92,,General Reading
The King In Yellow,4,3.49,,General Reading
"The Great Ordeal (Aspect-Emperor, #3)",4,4.08,,General Reading
Deep Work: Rules for Focused Success in a Distracted World,3,4.15,,General Reading
Beekeeping for Dummies,3,4.19,,General Reading
Ethics,4,4.01,,General Reading
Site Reliability Engineering: How Google Runs Production Systems,4,4.2,,General Reading
The Anubis Gates,4,3.93,,General Reading
Bare-Faced Messiah: The True Story Of L. Ron Hubbard,4,4.07,,General Reading
Rubáiyát of Omar Khayyám,4,4.1,,General Reading
Montaillou: The Promised Land of Error,4,4.01,,General Reading
Seeds in the Heart: Japanese Literature from Earliest Times to the Late Sixteenth Century,5,4.42,,General Reading
The Essential Marx (Dover Books on Western Philosophy),3,4.02,,General Reading
"The Complete Far Side, 1980–1994",4,4.68,,General Reading
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",4,4.55,,General Reading
Infinite in All Directions,3,3.98,,General Reading
The Sports Gene: Inside the Science of Extraordinary Athletic Performance,4,4.19,,General Reading
Latro in the Mist,5,4.2,,General Reading
On Speed: From Benzedrine to Adderall,4,4.1,,General Reading
Small Memory Software: Patterns for Systems With Limited Memory (Software Patterns Series),4,3.69,,General Reading
Drugs Unlimited: The Web Revolution That's Changing How the World Gets High,4,3.95,,General Reading
On the Nature of Things (Hackett Classics),4,3.83,,General Reading
Dawn to the West: Japanese Literature of the Modern Era; Fiction,3,4.3,,General Reading
"The Dark Forest (Remembrance of Earth’s Past, #2)",4,4.39,,General Reading
The Myth of Sisyphus,4,4.23,,General Reading
"Do No Harm: Stories of Life, Death and Brain Surgery",5,4.23,,General Reading
Ethan Frome,4,3.43,,General Reading
Epic Measures: One Doctor. Seven Billion Patients.,3,4.12,,General Reading
Practical Criticism: A Study of Literary Judgment,3,3.69,,General Reading
"World Within Walls: Japanese Literature of the Pre-Modern Era, 1600-1867",4,4.18,,General Reading
"The Immortalists: Charles Lindbergh, Dr. Alexis Carrel, and Their Daring Quest to Live Forever",4,3.95,,General Reading
Reinforcement Learning: An Introduction (Adaptive Computation and Machine Learning),4,4.55,,General Reading
The Martian,4,4.41,,General Reading
Still Alice,4,4.32,,General Reading
"Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety",4,4.24,,General Reading
Last Poems by A. E. Housman,3,3.75,,General Reading
Additional Poems,2,3.25,,General Reading
The Art of UNIX Programming,3,4.0,,General Reading
The Iliad,2,3.96,,General Reading
The Sagas of Icelanders,4,4.31,,General Reading
Rational Choice in an Uncertain World,3,4.28,,General Reading
Harry Potter and the Methods of Rationality,4,4.38,,General Reading
From the Country of Eight Islands: An Anthology of Japanese Poetry,4,4.52,,General Reading
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",4,4.07,,General Reading
Welcome to the N.H.K.,4,4.08,,General Reading
Japan Edge: The Insider's Guide to Japanese Pop Subculture,3,3.39,,General Reading
Peopleware: Productive Projects and Teams,3,4.11,,General Reading
Palimpsests,3,3.47,,General Reading
The Cartoon Guide to Statistics,4,3.92,,General Reading
The Manga Guide to Statistics,2,3.93,,General Reading
"Strange Attractors (Chaos Chronicles, #2)",2,3.78,,General Reading
Introducing Nietzsche: A Graphic Guide,3,3.86,,General Reading
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",4,4.22,,General Reading
Congressional Anecdotes,3,3.84,,General Reading
"The Causal Angel (Jean le Flambeur, #3)",4,4.19,,General Reading
"The Fractal Prince (Jean le Flambeur, #2)",4,4.06,,General Reading
The Principles of Psychology,4,3.9,,General Reading
"Ender In Exile (Ender's Saga, #6)",2,3.97,,General Reading
I Am a Cat,3,3.68,,General Reading
"The Quantum Thief (Jean le Flambeur, #1)",4,3.83,,General Reading
Diaspora,5,4.11,,General Reading
Fine Structure,3,4.1,,General Reading
Ra,4,4.02,,General Reading
The Far Side Gallery 3,3,4.43,,General Reading
Lud-in-the-Mist,4,3.86,,General Reading
A Clockwork Orange,4,3.98,,General Reading
Modern Egypt,3,3.0,,General Reading
Japan's Imperial Conspiracy: How Emperor Hirohito Led Japan Into War Against the West,4,3.67,,General Reading
A Book Of Luminous Things: An International Anthology of Poetry,3,4.18,,General Reading
I Am Legend,3,4.48,,General Reading
Blood and Beauty (The Borgias #1),3,3.56,,General Reading
The Art of Writing: Lu Chi's Wen Fu,4,4.16,,General Reading
A Night in the Lonesome October,3,4.12,,General Reading
Roadside Picnic,3,4.15,,General Reading
Brain Wave,3,3.71,,General Reading
Manna,4,3.71,,General Reading
Fragments of an Anarchist Anthropology (Paradigm),4,4.24,,General Reading
The Trumpeter of Krakow,4,3.75,,General Reading
The Sign of the Seahorse,5,4.14,,General Reading
Catch-22,5,3.99,,General Reading
The Pelican Brief,3,3.82,,General Reading
The Story of Life Insurance,3,3.0,,General Reading
Letters from a Stoic,3,4.32,,General Reading
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",2,4.57,,General Reading
The Autumn of the Patriarch,4,3.89,,General Reading
The Te of Piglet,4,3.78,,General Reading
The Adventures of Tom Sawyer,3,3.92,,General Reading
Robinson Crusoe,3,3.69,,General Reading
"Rogue Male (Rogue Male, #1)",4,3.92,,General Reading
The Invention of Morel,3,4.0,,General Reading
Guerrilla Warfare,3,3.79,,General Reading
"The Sandman, Vol. 7: Brief Lives",4,4.55,,General Reading
The Rediscovery of Man: The Complete Short Science Fiction of Cordwainer Smith,5,4.42,,General Reading
"The Last Unicorn (The Last Unicorn, #1)",4,4.16,,General Reading
Six Memos for the Next Millennium,3,4.24,,General Reading
Due Considerations: Essays and Criticism,3,4.05,,General Reading
Black Swan Green,3,3.97,,General Reading
"All Tomorrow's Parties (Bridge, #3)",2,3.92,,General Reading
"Burning Chrome (Sprawl, #0)",4,4.07,,General Reading
The Master and Margarita,4,4.31,,General Reading
"A Wild Sheep Chase (The Rat, #3)",4,3.96,,General Reading
The Wind-Up Bird Chronicle,3,4.16,,General Reading
"Dragon Weather (Obsidian Chronicles, #1)",4,4.01,,General Reading
Patterns of Software: Tales from the Software Community,3,3.81,,General Reading
Mr Palomar,3,3.93,,General Reading
The Grand Chessboard: American Primacy and its Geostrategic Imperatives,2,3.95,,General Reading
"M.Y.T.H. Inc. Link (Myth Adventures, #7)",2,3.95,,General Reading
"Myth-Gotten Gains (Myth Adventures, #17)",2,3.86,,General Reading
"Another Fine Myth (Myth Adventures, #1)",3,4.05,,General Reading
"Myth-Taken Identity (Myth Adventures, #15)",3,3.85,,General Reading
"Phantom (Sword of Truth, #10)",2,3.99,,General Reading
"Power, Faith, and Fantasy: America in the Middle East 1776 to the Present",3,4.0,,General Reading
"The Spy Who Came In from the Cold (George Smiley, #3)",4,4.07,,General Reading
A Book of Five Rings: The Classic Guide to Strategy,4,4.01,,General Reading
Terror and Consent : The Wars for the Twenty-First Century,3,3.83,,General Reading
"Bad Money: Reckless Finance, Failed Politics, and the Global Crisis of American Capitalism",2,3.74,,General Reading
"The Absolute Sandman, Volume 3",4,4.68,,General Reading
The Road,2,4.0,,General Reading
Othello,3,3.89,,General Reading
Red Emma Speaks: An Emma Goldman Reader (Contemporary Studies in Philosophy and the Human Sciences),4,4.22,,General Reading
Command Failure in War: Psychology and Leadership,3,3.0,,General Reading
The collected songs of Cold Mountain,5,4.58,,General Reading
Black American Students in an Affluent Suburb: A Study of Academic Disengagement,4,4.0,,General Reading
The Making of Prince of Persia,4,4.05,,General Reading
It's behind you - The making of a computer Game,3,4.22,,General Reading
"How to Measure Anything: Finding the Value of ""Intangibles"" in Business",4,3.86,,General Reading
"Sources of Japanese Tradition, Volume One: From Earliest Times to 1600",3,4.0,,General Reading
On China,4,4.16,,General Reading
The Ring of the Nibelung,5,4.25,,General Reading
The Stinky Cheese Man and Other Fairly Stupid Tales,4,4.2,,General Reading
The Policeman's Beard is Half-Constructed: Computer Prose and Poetry,3,3.8,,General Reading
Silently and Very Fast,3,4.08,,General Reading
Intelligence: A Unifying Construct for the Social Sciences,4,3.69,,General Reading
Laws of Form,2,4.0,,General Reading
An Island Out of Time: A Memoir of Smith Island in the Chesapeake,3,3.98,,General Reading
Vader's Little Princess,3,4.07,,General Reading
The Chicago World's Fair of 1893 A Photogrphic Record,3,3.98,,General Reading
Stellaluna,2,4.27,,General Reading
"Scott Pilgrim vs. The World (Scott Pilgrim, #2)",2,4.24,,General Reading
"The Locked Room (The New York Trilogy, #3)",3,3.92,,General Reading
"City of Glass (The New York Trilogy, #1)",4,3.78,,General Reading
"Ghosts (The New York Trilogy, #2)",3,3.62,,General Reading
The Testament,3,3.88,,General Reading
